var,gender,age
P0120001,Both,Total
P0120002,Male,Total
P0120003,Male,0-4
P0120004,Male,5-9
P0120005,Male,10-14
P0120006,Male,15-17
P0120007,Male,18-19
P0120008,Male,20
P0120009,Male,21
P0120010,Male,22-24
P0120011,Male,25-29
P0120012,Male,30-34
P0120013,Male,35-39
P0120014,Male,40-44
P0120015,Male,45-49
P0120016,Male,50-54
P0120017,Male,55-59
P0120018,Male,60-61
P0120019,Male,62-64
P0120020,Male,65-66
P0120021,Male,67-69
P0120022,Male,70-74
P0120023,Male,75-79
P0120024,Male,80-84
P0120025,Male,85+
P0120026,Female,Total
P0120027,Female,0-4
P0120028,Female,5-9
P0120029,Female,10-14
P0120030,Female,15-17
P0120031,Female,18-19
P0120032,Female,20
P0120033,Female,21
P0120034,Female,22-24
P0120035,Female,25-29
P0120036,Female,30-34
P0120037,Female,35-39
P0120038,Female,40-44
P0120039,Female,45-49
P0120040,Female,50-54
P0120041,Female,55-59
P0120042,Female,60-61
P0120043,Female,62-64
P0120044,Female,65-66
P0120045,Female,67-69
P0120046,Female,70-74
P0120047,Female,75-79
P0120048,Female,80-84
P0120049,Female,85+
