variable,gender,age,measure
B01001_001,Both,Total,estimate
B01001_002,Male,Total,estimate
B01001_003,Male,0-4,estimate
B01001_004,Male,5-9,estimate
B01001_005,Male,10-14,estimate
B01001_007a,Male,15-19,estimate
B01001_010a,Male,20-24,estimate
B01001_011,Male,25-29,estimate
B01001_012,Male,30-34,estimate
B01001_013,Male,35-39,estimate
B01001_014,Male,40-44,estimate
B01001_015,Male,45-49,estimate
B01001_016,Male,50-54,estimate
B01001_017,Male,55-59,estimate
B01001_019a,Male,60-64,estimate
B01001_021a,Male,65-69,estimate
B01001_022,Male,70-74,estimate
B01001_023,Male,75-79,estimate
B01001_024,Male,80-84,estimate
B01001_025,Male,85+,estimate
B01001_026,Female,Total,estimate
B01001_027,Female,0-4,estimate
B01001_028,Female,5-9,estimate
B01001_029,Female,10-14,estimate
B01001_031a,Female,15-19,estimate
B01001_034a,Female,20-24,estimate
B01001_035,Female,25-29,estimate
B01001_036,Female,30-34,estimate
B01001_037,Female,35-39,estimate
B01001_038,Female,40-44,estimate
B01001_039,Female,45-49,estimate
B01001_040,Female,50-54,estimate
B01001_041,Female,55-59,estimate
B01001_043a,Female,60-64,estimate
B01001_045a,Female,65-69,estimate
B01001_046,Female,70-74,estimate
B01001_047,Female,75-79,estimate
B01001_048,Female,80-84,estimate
B01001_049,Female,85+,estimate
B01001_001.err,Both,Total,error
B01001_002.err,Male,Total,error
B01001_003.err,Male,0-4,error
B01001_004.err,Male,5-9,error
B01001_005.err,Male,10-14,error
B01001_007a.err,Male,15-19,error
B01001_010a.err,Male,20-24,error
B01001_011.err,Male,25-29,error
B01001_012.err,Male,30-34,error
B01001_013.err,Male,35-39,error
B01001_014.err,Male,40-44,error
B01001_015.err,Male,45-49,error
B01001_016.err,Male,50-54,error
B01001_017.err,Male,55-59,error
B01001_019a.err,Male,60-64,error
B01001_021a.err,Male,65-69,error
B01001_022.err,Male,70-74,error
B01001_023.err,Male,75-79,error
B01001_024.err,Male,80-84,error
B01001_025.err,Male,85+,error
B01001_026.err,Female,Total,error
B01001_027.err,Female,0-4,error
B01001_028.err,Female,5-9,error
B01001_029.err,Female,10-14,error
B01001_031a.err,Female,15-19,error
B01001_034a.err,Female,20-24,error
B01001_035.err,Female,25-29,error
B01001_036.err,Female,30-34,error
B01001_037.err,Female,35-39,error
B01001_038.err,Female,40-44,error
B01001_039.err,Female,45-49,error
B01001_040.err,Female,50-54,error
B01001_041.err,Female,55-59,error
B01001_043a.err,Female,60-64,error
B01001_045a.err,Female,65-69,error
B01001_046.err,Female,70-74,error
B01001_047.err,Female,75-79,error
B01001_048.err,Female,80-84,error
B01001_049.err,Female,85+,error
