variable,income,measure
B19001_003a,0-15k,estimate
B19001_006a,15-30k,estimate
B19001_009a,30-45k,estimate
B19001_011a,45-60k,estimate
B19001_012,60-75k,estimate
B19001_013,75-100k,estimate
B19001_014,100-125k,estimate
B19001_015,125-150k,estimate
B19001_016,150-200k,estimate
B19001_017,200k+,estimate
B19001_003a.err,0-15k,error
B19001_006a.err,15-30k,error
B19001_009a.err,30-45k,error
B19001_011a.err,45-60k,error
B19001_012.err,60-75k,error
B19001_013.err,75-100k,error
B19001_014.err,100-125k,error
B19001_015.err,125-150k,error
B19001_016.err,150-200k,error
B19001_017.err,200k+,error
