statename,code,twoletter
Alaska,2,AK
Alabama,1,AL
Arkansas,5,AR
American Samoa,60,AS
Arizona,4,AZ
California,6,CA
Colorado,8,CO
Connecticut,9,CT
District of Columbia,11,DC
Delaware,10,DE
Florida,12,FL
Georgia,13,GA
Guam,66,GU
Hawaii,15,HI
Iowa,19,IA
Idaho,16,ID
Illinois,17,IL
Indiana,18,IN
Kansas,20,KS
Kentucky,21,KY
Louisiana,22,LA
Massachusetts,25,MA
Maryland,24,MD
Maine,23,ME
Michigan,26,MI
Minnesota,27,MN
Missouri,29,MO
Commonwealth of the Northern Mariana Islands,69,MP
Mississippi,28,MS
Montana,30,MT
North Carolina,37,NC
North Dakota,38,ND
Nebraska,31,NE
New Hampshire,33,NH
New Jersey,34,NJ
New Mexico,35,NM
Nevada,32,NV
New York,36,NY
Ohio,39,OH
Oklahoma,40,OK
Oregon,41,OR
Pennsylvania,42,PA
Puerto Rico,72,PR
Rhode Island,44,RI
South Carolina,45,SC
South Dakota,46,SD
Tennessee,47,TN
Texas,48,TX
Utah,49,UT
Virginia,51,VA
Virgin Islands of the United States,78,VI
Vermont,50,VT
Washington,53,WA
Wisconsin,55,WI
West Virginia,54,WV
Wyoming,56,WY
